Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE0142ASample1_431,431,2021-09-10,2021-09-11,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-11,2021-09-12,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-12,2021-09-13,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-13,2021-09-14,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-14,2021-09-15,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-15,2021-09-16,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-16,2021-09-17,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-17,2021-09-18,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-18,2021-09-19,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-19,2021-09-20,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-20,2021-09-21,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-21,2021-09-22,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-22,2021-09-23,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-23,2021-09-24,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-24,2021-09-25,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-25,2021-09-26,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-26,2021-09-27,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-27,2021-09-28,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-28,2021-09-29,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-29,2021-09-30,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-09-30,2021-10-01,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-01,2021-10-02,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-02,2021-10-03,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-03,2021-10-04,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-04,2021-10-05,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-05,2021-10-06,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-06,2021-10-07,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-07,2021-10-08,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-08,2021-10-09,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-09,2021-10-10,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-10,2021-10-11,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-11,2021-10-12,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-12,2021-10-13,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-13,2021-10-14,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-14,2021-10-15,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-15,2021-10-16,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-16,2021-10-17,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-17,2021-10-18,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-18,2021-10-19,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-19,2021-10-20,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-20,2021-10-21,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-21,2021-10-22,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-22,2021-10-23,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-23,2021-10-24,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-24,2021-10-25,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-25,2021-10-26,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-26,2021-10-27,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-27,2021-10-28,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-28,2021-10-29,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-29,2021-10-30,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-30,2021-10-31,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-10-31,2021-11-01,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-01,2021-11-02,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-02,2021-11-03,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-03,2021-11-04,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-04,2021-11-05,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-05,2021-11-06,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-06,2021-11-07,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-07,2021-11-08,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-08,2021-11-09,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-09,2021-11-10,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-10,2021-11-11,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-11,2021-11-12,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-12,2021-11-13,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-13,2021-11-14,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-14,2021-11-15,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-15,2021-11-16,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-16,2021-11-17,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-17,2021-11-18,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-18,2021-11-19,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-19,2021-11-20,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-20,2021-11-21,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-21,2021-11-22,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-22,2021-11-23,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-23,2021-11-24,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-24,2021-11-25,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-25,2021-11-26,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-26,2021-11-27,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-27,2021-11-28,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-28,2021-11-29,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-29,2021-11-30,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-11-30,2021-12-01,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-01,2021-12-02,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-02,2021-12-03,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-03,2021-12-04,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-04,2021-12-05,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-05,2021-12-06,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-06,2021-12-07,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-07,2021-12-08,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-08,2021-12-09,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-09,2021-12-10,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-10,2021-12-11,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-11,2021-12-12,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-12,2021-12-13,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-13,2021-12-14,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-14,2021-12-15,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-15,2021-12-16,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-16,2021-12-17,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-17,2021-12-18,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-18,2021-12-19,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-19,2021-12-20,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-20,2021-12-21,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-21,2021-12-22,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-22,2021-12-23,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-23,2021-12-24,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-24,2021-12-25,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-25,2021-12-26,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-26,2021-12-27,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-27,2021-12-28,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-28,2021-12-29,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-29,2021-12-30,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-30,2021-12-31,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2021-12-31,2022-01-01,-999.000000000000000000,ug.m-3,day,-1,1,2022-09-22 08:42:12,0E-18,4f7139ce-a1e8-4cc3-9ef0-4716234ae5ef
IE/SPO.IE.IE0142ASample1_431,431,2022-01-01,2022-01-02,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-02,2022-01-03,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-03,2022-01-04,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-04,2022-01-05,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-05,2022-01-06,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-06,2022-01-07,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-07,2022-01-08,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-08,2022-01-09,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-09,2022-01-10,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-10,2022-01-11,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-11,2022-01-12,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-12,2022-01-13,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-13,2022-01-14,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
IE/SPO.IE.IE0142ASample1_431,431,2022-01-14,2022-01-15,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,abc9a916-8246-4550-ac6c-06080e2aa455
